Datetime,open,high,low,close,volume
2025-12-02 09:30:00,486.6799926757813,488.0,486.3200073242188,486.9500122070313,814270
2025-12-02 09:35:00,486.9400024414063,488.6440124511719,486.4200134277344,487.6900024414063,177946
2025-12-02 09:40:00,487.70208740234375,489.0586853027344,487.5299987792969,488.5799865722656,301318
2025-12-02 09:45:00,488.6799926757813,488.6799926757813,487.2200012207031,487.9200134277344,154988
2025-12-02 09:50:00,487.8699951171875,488.5,487.6499938964844,488.0098876953125,117264
2025-12-02 09:55:00,487.9800109863281,489.1499938964844,487.8450012207031,488.9549865722656,213128
2025-12-02 10:00:00,488.9800109863281,489.7000122070313,488.8999938964844,489.4500122070313,201886
2025-12-02 10:05:00,489.5190124511719,490.010009765625,489.4200134277344,489.6099853515625,169777
2025-12-02 10:10:00,489.6099853515625,490.260009765625,489.2999877929688,490.260009765625,125311
2025-12-02 10:15:00,490.239990234375,490.9299926757813,490.2200012207031,490.5499877929688,155708
2025-12-02 10:20:00,490.55999755859375,491.4999084472656,489.8299865722656,491.4450073242188,142938
2025-12-02 10:25:00,491.4450073242188,491.510009765625,490.1600036621094,490.5249938964844,140105
2025-12-02 10:30:00,490.5499877929688,490.7298889160156,489.6900024414063,489.9400024414063,144715
2025-12-02 10:35:00,489.8999938964844,491.0692138671875,489.760009765625,490.9700012207031,103768
2025-12-02 10:40:00,490.9299926757813,491.7200012207031,490.7999877929688,491.5700073242188,142941
2025-12-02 10:45:00,491.6000061035156,491.6000061035156,490.80999755859375,491.114990234375,138232
2025-12-02 10:50:00,491.1199951171875,491.8699951171875,491.1099853515625,491.7200012207031,136263
2025-12-02 10:55:00,491.6799926757813,491.9599914550781,491.50201416015625,491.739990234375,99671
2025-12-02 11:00:00,491.7200012207031,492.1400146484375,491.3599853515625,492.10101318359375,137543
2025-12-02 11:05:00,492.0799865722656,492.2799987792969,491.4599914550781,491.5799865722656,104698
2025-12-02 11:10:00,491.55999755859375,491.7072143554688,491.1400146484375,491.4100036621094,147502
2025-12-02 11:15:00,491.3999938964844,491.7349853515625,491.1099853515625,491.5,105596
2025-12-02 11:20:00,491.4599914550781,491.6470947265625,490.1799926757813,490.2999877929688,152490
2025-12-02 11:25:00,490.2799987792969,490.4700012207031,489.4512939453125,489.6000061035156,150054
2025-12-02 11:30:00,489.5799865722656,489.9649963378906,489.0400085449219,489.9249877929688,110138
2025-12-02 11:35:00,489.9100036621094,490.1099853515625,489.360107421875,489.9949951171875,89416
2025-12-02 11:40:00,490.0400085449219,490.3800048828125,489.8374938964844,490.0799865722656,79603
2025-12-02 11:45:00,490.05999755859375,490.53070068359375,489.9800109863281,490.2850036621094,64722
2025-12-02 11:50:00,490.3399963378906,490.8099060058594,490.18011474609375,490.5299987792969,84821
2025-12-02 11:55:00,490.5050048828125,490.6600036621094,490.14849853515625,490.25,74776
2025-12-02 12:00:00,490.2449951171875,491.3900146484375,490.2099914550781,491.1549987792969,87256
2025-12-02 12:05:00,491.1499938964844,491.2900085449219,490.7000122070313,490.7900085449219,65346
2025-12-02 12:10:00,490.739990234375,491.5299987792969,490.7000122070313,491.5299987792969,54583
2025-12-02 12:15:00,491.510009765625,492.3900146484375,491.3999938964844,492.2001037597656,97535
2025-12-02 12:20:00,492.260009765625,492.760009765625,492.2349853515625,492.6874084472656,94794
2025-12-02 12:25:00,492.7200012207031,493.4999084472656,492.6400146484375,493.2099914550781,108506
2025-12-02 12:30:00,493.2149963378906,493.4500122070313,492.7000122070313,492.75,112954
2025-12-02 12:35:00,492.75,492.75,492.3299865722656,492.6600036621094,81048
2025-12-02 12:40:00,492.7850036621094,492.8599853515625,492.3299865722656,492.375,65868
2025-12-02 12:45:00,492.3999938964844,492.7040100097656,492.3200073242188,492.4500122070313,62311
2025-12-02 12:50:00,492.4500122070313,492.5599060058594,491.4500122070313,491.5899963378906,101490
2025-12-02 12:55:00,491.5589904785156,491.5799865722656,490.5299987792969,490.5299987792969,110282
2025-12-02 13:00:00,490.510009765625,491.2699890136719,490.3500061035156,490.91650390625,80870
2025-12-02 13:05:00,490.8399963378906,491.1199035644531,490.5899963378906,490.5899963378906,85674
2025-12-02 13:10:00,490.6000061035156,490.6300048828125,490.1099853515625,490.2449951171875,96367
2025-12-02 13:15:00,490.2300109863281,490.489990234375,490.0499877929688,490.3599853515625,62135
2025-12-02 13:20:00,490.30999755859375,490.55999755859375,490.1600036621094,490.2200012207031,68896
2025-12-02 13:25:00,490.239990234375,490.2755126953125,489.6700134277344,490.0899963378906,87509
2025-12-02 13:30:00,490.0700073242188,490.3299865722656,489.760009765625,489.989990234375,75991
2025-12-02 13:35:00,490.0050048828125,490.1499938964844,489.760009765625,489.8699951171875,69773
2025-12-02 13:40:00,489.8399963378906,490.12939453125,489.7101135253906,489.989990234375,56196
2025-12-02 13:45:00,489.9450073242188,490.010009765625,489.739990234375,489.9599914550781,53191
2025-12-02 13:50:00,489.9679870605469,490.322509765625,489.8200073242188,490.2999877929688,50320
2025-12-02 13:55:00,490.2749938964844,490.3800048828125,489.8132934570313,490.1099853515625,50139
2025-12-02 14:00:00,490.114990234375,490.489990234375,489.8800048828125,490.4100036621094,47429
2025-12-02 14:05:00,490.4400024414063,490.6799011230469,490.1600036621094,490.1950073242188,66159
2025-12-02 14:10:00,490.1900024414063,490.4525146484375,490.0799865722656,490.25,78032
2025-12-02 14:15:00,490.25,490.3262939453125,489.55999755859375,489.6099853515625,85797
2025-12-02 14:20:00,489.6099853515625,489.7099914550781,489.1449890136719,489.2999877929688,105682
2025-12-02 14:25:00,489.30999755859375,489.8800048828125,489.239990234375,489.8485107421875,57732
2025-12-02 14:30:00,489.80999755859375,490.0981140136719,489.7300109863281,490.0,50147
2025-12-02 14:35:00,490.010009765625,490.0650024414063,489.6943054199219,489.9500122070313,38975
2025-12-02 14:40:00,489.9400024414063,490.0650024414063,489.6499938964844,489.760009765625,42851
2025-12-02 14:45:00,489.7799987792969,490.1300048828125,489.6000061035156,489.9500122070313,47165
2025-12-02 14:50:00,489.9299926757813,490.4700012207031,489.8500061035156,490.2900085449219,79636
2025-12-02 14:55:00,490.30999755859375,490.4800109863281,490.1499938964844,490.1600036621094,65717
