Datetime,open,high,low,close,volume
2025-12-04 09:15:00,999.0,1001.7000122070312,998.5,998.7999877929688,0
2025-12-04 09:20:00,998.7000122070312,1002.4000244140624,997.0,1002.4000244140624,403239
2025-12-04 09:25:00,1002.2999877929688,1002.4000244140624,1001.0,1002.0,289521
2025-12-04 09:30:00,1002.0,1002.4000244140624,1000.4000244140624,1002.4000244140624,151984
2025-12-04 09:35:00,1002.2000122070312,1003.0,1002.0,1002.0,162173
2025-12-04 09:40:00,1002.0,1002.0,1001.0,1001.2000122070312,117027
2025-12-04 09:45:00,1001.2999877929688,1001.5,1000.9000244140624,1001.0,79698
2025-12-04 09:50:00,1001.0,1001.5,1000.5,1001.0999755859376,69943
2025-12-04 09:55:00,1001.2999877929688,1001.7000122070312,1001.0999755859376,1001.2999877929688,71124
2025-12-04 10:00:00,1001.2999877929688,1002.0,1000.7999877929688,1001.7999877929688,66794
2025-12-04 10:05:00,1001.7999877929688,1003.0,1001.7999877929688,1002.0,125588
2025-12-04 10:10:00,1002.0,1002.2999877929688,1001.4000244140624,1002.0999755859376,143850
2025-12-04 10:15:00,1002.0999755859376,1002.9000244140624,1001.5999755859376,1002.0,202633
2025-12-04 10:20:00,1002.0,1003.2999877929688,1001.7999877929688,1002.5999755859376,112174
2025-12-04 10:25:00,1002.5999755859376,1004.2000122070312,1002.5999755859376,1004.2000122070312,104270
2025-12-04 10:30:00,1004.2000122070312,1004.5999755859376,1003.0,1003.9000244140624,156339
2025-12-04 10:35:00,1003.9000244140624,1004.7000122070312,1003.7999877929688,1004.2999877929688,102926
2025-12-04 10:40:00,1004.2999877929688,1004.5,1003.9000244140624,1004.0,109641
2025-12-04 10:45:00,1003.9000244140624,1004.4000244140624,1003.0999755859376,1003.7000122070312,104781
2025-12-04 10:50:00,1003.7999877929688,1004.2999877929688,1003.5,1003.7999877929688,86953
2025-12-04 10:55:00,1004.0,1004.5999755859376,1003.9000244140624,1004.0,95815
2025-12-04 11:00:00,1003.7000122070312,1004.0,1003.7000122070312,1003.7000122070312,131186
2025-12-04 11:05:00,1003.7999877929688,1004.0,1003.0999755859376,1003.5,110952
2025-12-04 11:10:00,1003.5,1003.7999877929688,1002.9000244140624,1003.0,106966
2025-12-04 11:15:00,1003.0,1003.0,1002.0,1002.7000122070312,283840
2025-12-04 11:20:00,1002.5,1002.7999877929688,1002.2000122070312,1002.5,358492
2025-12-04 11:25:00,1002.5,1003.0,1001.9000244140624,1002.5,262018
2025-12-04 11:30:00,1002.4000244140624,1002.5999755859376,1001.5,1001.9000244140624,296580
2025-12-04 11:35:00,1001.7999877929688,1002.0,1000.2999877929688,1000.2999877929688,162622
2025-12-04 11:40:00,1000.5999755859376,1000.5999755859376,999.0,999.9000244140624,122735
2025-12-04 11:45:00,1000.0,1000.0,998.2000122070312,998.9000244140624,131117
2025-12-04 11:50:00,998.9000244140624,999.2000122070312,997.7999877929688,998.2000122070312,101925
