Datetime,open,high,low,close,volume,rsi_14,macd_12_26,macd_signal_9,macd_diff,bb_high_20,bb_low_20,bb_mid_20,bb_width_20,atr_14,ema_9,ema_21,ema_50,body_size,upper_wick,lower_wick,total_range,body_ratio,upper_wick_ratio,lower_wick_ratio,candle_direction,gap,rolling_vol_5,rolling_vol_10,volume_ratio_5
2025-12-04 13:25:00,26017.80078125,26022.44921875,26014.55078125,26016.19921875,0,48.28906828747311,-9.026331157212553,-8.464015637404534,-0.5623155198080187,26041.216811156104,25989.303110718894,26015.2599609375,51.91370043720963,14.102306939217259,26007.57419576479,26016.584614204956,26017.215438978037,1.6015625,4.6484375,1.6484375,7.8984375,0.2027695348570277,0.588526210926495,0.20870425295040412,-1,16.0,6.951045927750896,9.838304728432504,0.0
2025-12-04 13:30:00,26015.69921875,26027.599609375,26001.849609375,26002.75,0,41.65865262063965,-8.917959990332747,-8.554804507990177,-0.3631554823425702,26038.966920210652,25988.55807978935,26013.7625,50.408840421303466,14.934285014987454,26006.609356611832,26015.326922004504,26016.648166861254,12.94921875,11.900390625,0.900390625,25.75,0.502882281358104,0.46215109205353355,0.03496662620001296,-1,-0.5,6.972400971339192,6.849447042625183,0.0
2025-12-04 13:35:00,26002.400390625,26003.55078125,25974.80078125,25980.650390625,0,33.5152393085079,-10.494356433773646,-8.94271489314687,-1.5516415406267754,26040.866721432183,25982.968239505317,26011.91748046875,57.898481926866225,15.921121799631207,26001.417563414467,26012.17451006091,26015.236489361796,21.75,1.150390625,5.849609375,28.75,0.7565217388672968,0.04001358694260397,0.20346467384227315,-1,-0.349609375,12.722765119610775,9.215183790339168,0.0
2025-12-04 13:40:00,25980.55078125,25981.05078125,25962.400390625,25976.69921875,0,32.29954692295111,-11.92502426485953,-9.539176767489403,-2.3858474973701274,26041.730799233163,25977.38404451684,26009.557421875,64.34675471632363,16.116069572871833,25996.473894481576,26008.9494835781,26013.72522384761,3.8515625,0.5,14.298828125,18.650390625,0.20651377096477636,0.02680908994268902,0.7666771385563528,-1,-0.099609375,16.54258420819211,11.672262511824393,0.0
2025-12-04 13:45:00,25976.30078125,25980.94921875,25970.900390625,25979.05078125,0,33.837726634206376,-12.722431120953843,-10.175827638182291,-2.546603482771552,26039.683917259954,25974.001043677545,26006.84248046875,65.68287358240923,15.682695183738131,25992.989271835264,26006.23141973009,26012.36544178496,2.75,1.8984375,5.400390625,10.048828125,0.2736637509424376,0.1889212826108305,0.5374149654515908,1,-0.3984375,17.51748603237659,13.105304583247907,0.0
2025-12-04 13:50:00,25978.650390625,25983.55078125,25973.400390625,25976.599609375,0,32.996174515563496,-13.397730190590664,-10.820208148663966,-2.5775220419266986,26037.269297515635,25970.860585296865,26004.06494140625,66.40871221877023,15.287530572399692,25989.711339343216,26003.53761878872,26010.962860121825,2.05078125,4.900390625,3.19921875,10.150390625,0.202039638053792,0.48277852559710865,0.31518183536391553,-1,-0.400390625,11.087513669251408,14.275726272517876,0.0
2025-12-04 13:55:00,25975.55078125,25978.349609375,25970.05078125,25973.099609375,0,31.780763604211685,-14.053332251529355,-11.466832969237043,-2.586499282292312,26035.26658008164,25967.393185543362,26001.3298828125,67.87339453827735,14.788337540442571,25986.388993349574,26000.770527023833,26009.478026759203,2.451171875,2.798828125,3.048828125,8.298828125,0.29536361461231775,0.3372558244935867,0.367380559689106,-1,-1.048828125,2.8615142990840265,15.006825439805763,0.0
2025-12-04 14:00:00,25973.30078125,25989.55078125,25970.5,25988.150390625,0,41.72198943450207,-13.20619653286849,-11.814705681963334,-1.3914908509051553,26033.25288158168,25966.371923105817,25999.81240234375,66.88095847586374,15.092797805410958,25986.74127280466,25999.62324189667,26008.641648871588,14.849609375,1.400390625,2.80078125,19.05078125,0.7794750867345793,0.07350830424683591,0.14701660849367182,1,0.201171875,5.683530759691876,14.758975035131517,0.0
2025-12-04 14:05:00,25986.69921875,26006.900390625,25977.900390625,26005.55078125,0,50.67178514835461,-11.003922896790755,-11.652549124928818,0.6486262281380633,26031.349307960223,25966.825496727277,25999.08740234375,64.52381123294617,16.086169390738746,25990.50317449373,26000.162109110606,26008.52043837662,18.8515625,1.349609375,8.798828125,29.0,0.6500538790861883,0.04653825429429715,0.3034078662746869,1,-1.451171875,13.024393743364948,15.21272332357059,0.0
2025-12-04 14:10:00,26005.599609375,26022.69921875,26001.650390625,26004.30078125,0,50.07683446098921,-9.252809103316395,-11.172601120606334,1.9197920172899394,26028.293766623283,25967.86111618922,25998.07744140625,60.43265043406427,16.44064501461455,25993.262695844987,26000.53835203237,26008.35496162656,1.298828125,17.099609375,2.650390625,21.048828125,0.061705483871584664,0.8123782124747725,0.12591630317855698,-1,0.048828125,15.115364258895065,15.445949033468674,0.0
2025-12-04 14:15:00,26004.05078125,26011.19921875,25998.650390625,26001.150390625,0,48.53027509325069,-8.026721946283942,-10.543425285741856,2.516703339457914,26024.08637497274,25969.51362502726,25996.8,54.57274994548061,16.162658093927796,25994.84023480099,26000.593991904425,26008.07242943042,2.900390625,7.1484375,2.5,12.548828125,0.23112840448507743,0.5696498049935241,0.19922178972451118,-1,-0.25,13.790256773153882,13.214737713890399,0.0
2025-12-04 14:20:00,26001.0,26007.400390625,25992.44921875,26003.55078125,0,49.802357505887656,-6.783155583125335,-9.791371345218552,3.008215762093217,26020.04663929302,25971.41839976948,25995.73251953125,48.62823952353938,16.07612336400438,25996.582344090795,26000.86279093584,26007.895109893932,2.55078125,3.849609375,8.55078125,14.951171875,0.17060744599954145,0.2574787718722023,0.5719137814594123,1,-0.150390625,7.1096976607335085,13.31074021333234,0.0
2025-12-04 14:25:00,26002.25,26015.900390625,25999.599609375,26014.44921875,0,55.214484494039844,-4.862159508480545,-8.805528977870951,3.9433694693904062,26020.877560201472,25971.042361673528,25995.9599609375,49.83519852794416,16.09217035586121,26000.155719022638,26002.097920737127,26008.152133770644,12.19921875,1.451171875,2.650390625,16.30078125,0.7483824582037241,0.08902468242801265,0.16259285875479565,1,-1.30078125,5.094030903753163,15.15250679761361,0.0
2025-12-04 14:30:00,26014.0,26020.849609375,26006.0,26009.75,0,52.58198820403012,-3.6765628316716175,-7.779735748631085,4.103172916959467,26022.364300300047,25971.17066063745,25996.76748046875,51.19363966259698,16.00341600008541,26002.074575218114,26002.79356430648,26008.2147951914,4.25,6.849609375,3.75,14.849609375,0.28620281448568213,0.46126528970647396,0.2525318951344254,-1,-0.44921875,5.38068362632697,14.98481677737235,0.0
2025-12-04 14:35:00,26008.94921875,26017.19921875,25998.650390625,26014.80078125,0,55.06195843974132,-2.302867069702188,-6.684362012845305,4.381494943143117,26024.53646457135,25971.08365261615,25997.81005859375,53.45281195519783,16.185231151865022,26004.619816424492,26003.885129483162,26008.473069154486,5.8515625,2.3984375,10.298828125,18.548828125,0.315468042369675,0.12930399066420592,0.5552279664270015,1,-0.80078125,6.222509733248482,14.871208036655641,0.0
2025-12-04 14:40:00,26013.75,26019.94921875,26000.849609375,26000.849609375,0,47.64896799957218,-2.3132802026957506,-5.810145650815395,3.496865448119644,26024.388415425594,25971.046740824408,25997.717578125,53.34167460118624,16.39340102494609,26003.865775014594,26003.609173109693,26008.17410994745,12.900390625,6.19921875,0.0,19.099609375,0.6754269349158211,0.324573064560608,0.0,-1,-1.05078125,6.314995059194717,12.589287305419276,0.0
