Datetime,open,high,low,close,volume,rsi_14,macd_12_26,macd_signal_9,macd_diff,bb_high_20,bb_low_20,bb_mid_20,bb_width_20,atr_14,ema_9,ema_21,ema_50,body_size,upper_wick,lower_wick,total_range,body_ratio,upper_wick_ratio,lower_wick_ratio,candle_direction,gap,rolling_vol_5,rolling_vol_10,volume_ratio_5
2025-12-02 13:40:00,6817.7099609375,6821.4599609375,6816.2001953125,6821.2099609375,18986000,44.86294128939405,-2.6385967234946293,-2.0829369593646394,-0.5556597641299899,6841.829459554516,6812.778548257984,6827.30400390625,29.050911296531922,6.864580535713523,6822.781413850166,6825.404121045521,6829.5872352492,3.5,0.25,1.509765625,5.259765625,0.6654288884489432,0.04753063488921023,0.28704047476062117,1,-0.1201171875,3.3216518904934986,3.353366878482922,0.9848940717531586
2025-12-02 13:45:00,6820.97998046875,6822.43994140625,6818.31982421875,6822.02001953125,18628000,45.73235518416473,-2.5695667079744453,-2.1802629090866006,-0.3893037988878447,6841.750769526575,6813.063244145301,6827.407006835938,28.6875253812741,6.668547439412556,6822.629134986383,6825.096475453314,6829.290481691633,1.0400390625,0.419921875,2.66015625,4.1201171875,0.2524294850474335,0.10191988598159288,0.6456506265438582,1,-0.22998046875,2.317186128456623,2.4799319718332358,0.9790709653004798
2025-12-02 13:50:00,6821.9599609375,6826.5,6820.31005859375,6825.97998046875,21578000,49.89193768235271,-2.1703062311935355,-2.178271573507988,0.00796534231445234,6841.745760347752,6813.052237699123,6827.398999023438,28.69352264862937,6.634361294186659,6823.299304082857,6825.17679409108,6829.160658114265,4.02001953125,0.52001953125,1.64990234375,6.18994140625,0.6494438736845776,0.08401041242245537,0.2665457122774429,1,-0.06005859375,2.9196197333023166,2.6876811126759352,1.1191212165217925
2025-12-02 13:55:00,6826.10986328125,6826.5498046875,6821.080078125,6824.7900390625,22022000,48.684353179435696,-1.9276865825768255,-2.1281545753217554,0.20046799274493,6840.782409268912,6812.961584871713,6826.871997070312,27.82082439719852,6.551173099066183,6823.5974510787855,6825.141634543028,6828.989261288706,1.31982421875,0.43994140625,3.7099609375,5.4697265625,0.24129619666651078,0.0804320655555036,0.6782717359497407,-1,0.1298828125,3.200294371564948,2.6861056375074224,1.0888612001107545
2025-12-02 14:00:00,6824.7998046875,6831.33984375,6823.52978515625,6830.2900390625,20946000,54.20201780552037,-1.276885586280514,-1.9579007775135073,0.6810151912329934,6840.2417654918745,6813.09021693,6826.665991210937,27.151548561874733,6.641093491543598,6824.935968675529,6825.609671317526,6829.040272181796,5.490234375,1.0498046875,1.27001953125,7.81005859375,0.7029696771243001,0.13441700514205313,0.1626133164532466,1,0.009765625,3.610153368626551,3.4765325781731344,1.0251566170712603
2025-12-02 14:05:00,6830.419921875,6832.64013671875,6829.169921875,6829.39990234375,20460000,53.204923974146375,-0.8234554204636879,-1.7310117061035435,0.9075562856398556,6838.797909916821,6813.648086176929,6826.222998046875,25.149823739891872,6.414602159558341,6825.828755409173,6825.954237774456,6829.054375325403,1.02001953125,2.22021484375,0.22998046875,3.47021484375,0.29393555564657375,0.6397917527644668,0.06627268870729357,-1,0.1298828125,3.3925787118084165,3.905261051373341,0.9871277765984131
2025-12-02 14:10:00,6829.4501953125,6831.75,6828.16015625,6830.47021484375,19456000,54.29369181141807,-0.37343870456243167,-1.4594971057953212,1.0860584012328895,6837.094797482228,6814.487233767772,6825.791015625,22.607563714456774,6.2128337017327455,6826.757047296089,6826.364781144391,6829.109898443769,1.02001953125,1.27978515625,1.2900390625,3.58984375,0.284140369175844,0.3565016312158388,0.35935799682268066,1,0.05029296875,2.622844333170739,4.33049803955017,0.9312477264459799
2025-12-02 14:15:00,6830.419921875,6831.89013671875,6828.2900390625,6828.7900390625,21602000,52.23894493435979,-0.15063691021532577,-1.1977250666793222,1.0470881564639964,6836.069666902895,6814.889366300231,6825.479516601563,21.18030060266392,6.026209698483979,6827.163645649372,6826.585259136946,6829.097354938622,1.6298828125,1.47021484375,0.5,3.60009765625,0.45273294326977204,0.40838193294945585,0.13888512100306968,-1,-0.05029296875,2.3149571895958645,4.5099021389135565,1.033727006488907
2025-12-02 14:20:00,6828.759765625,6829.7099609375,6821.35009765625,6822.83984375,21711000,45.6500657062451,-0.4490198950124977,-1.0479840323459573,0.5989641373334595,6834.21889043145,6815.399127146675,6824.809008789062,18.819763284775036,6.1928992401101235,6826.298885269498,6826.2447668290415,6828.851962342989,5.919921875,0.9501953125,1.48974609375,8.35986328125,0.708136206150188,0.11366158505182002,0.17820220760180003,-1,-0.0302734375,3.158975036689636,4.354358676167862,1.0420446364290852
2025-12-02 14:25:00,6822.93994140625,6827.5,6822.43994140625,6827.43017578125,20628000,50.80513476585301,-0.3114983689838482,-0.9006868996735354,0.5891885306896872,6832.295925352593,6816.438107850532,6824.367016601563,15.857817502061152,6.111982051084401,6826.525143371849,6826.352531279242,6828.796206007235,4.490234375,0.06982421875,0.5,5.06005859375,0.8873878203055388,0.013799092899488042,0.09881308481871158,1,0.10009765625,2.975267091349152,3.479703798925045,0.993096276611109
